iter	Passed	Remaining
0	0	398
1	0	308
2	0	275
3	1	254
4	1	239
5	1	232
6	1	226
7	1	221
8	2	222
9	2	218
10	2	215
11	2	214
12	2	212
13	2	209
14	3	208
15	3	209
16	3	209
17	3	207
18	3	205
19	4	205
20	4	203
21	4	202
22	4	200
23	4	200
24	5	200
25	5	200
26	5	199
27	5	198
28	5	197
29	6	196
30	6	195
31	6	194
32	6	194
33	6	193
34	6	192
35	7	192
36	7	194
37	7	193
38	7	193
39	8	192
40	8	192
41	8	191
42	8	190
43	8	190
44	8	190
45	9	190
46	9	190
47	9	189
48	9	189
49	9	188
50	10	188
51	10	188
52	10	187
53	10	187
54	10	187
55	11	187
56	11	186
57	11	186
58	11	186
59	11	185
60	12	185
61	12	184
62	12	184
63	12	184
64	12	184
65	12	183
66	13	183
67	13	182
68	13	182
69	13	181
70	13	181
71	14	181
72	14	180
73	14	180
74	14	180
75	14	179
76	14	179
77	15	179
78	15	178
79	15	178
80	15	178
81	15	177
82	15	176
83	16	175
84	16	175
85	16	176
86	16	176
87	17	176
88	17	175
89	17	175
90	17	176
91	17	177
92	18	184
93	19	184
94	19	184
95	19	184
96	19	183
97	19	183
98	20	182
99	20	182
100	20	182
101	20	181
102	20	181
103	21	181
104	21	181
105	21	180
106	21	180
107	21	180
108	21	179
109	22	179
110	22	179
111	22	178
112	22	178
113	22	177
114	23	177
115	23	177
116	23	176
117	23	176
118	23	175
119	23	175
120	24	175
121	24	174
122	24	174
123	24	174
124	24	173
125	25	173
126	25	172
127	25	172
128	25	172
129	25	172
130	25	171
131	26	171
132	26	171
133	26	170
134	26	170
135	26	170
136	27	170
137	27	170
138	27	169
139	27	169
140	27	169
141	27	168
142	28	168
143	28	168
144	28	168
145	28	167
146	28	167
147	29	167
148	29	167
149	29	166
150	29	166
151	29	166
152	29	165
153	30	165
154	30	165
155	30	165
156	30	165
157	30	164
158	31	164
159	31	164
160	31	163
161	31	163
162	31	163
163	31	163
164	32	166
165	33	166
166	33	166
167	33	165
168	33	165
169	33	165
170	34	165
171	34	165
172	34	164
173	34	164
174	34	164
175	35	164
176	35	163
177	35	163
178	35	163
179	35	163
180	35	162
181	36	162
182	36	162
183	36	162
184	36	161
185	36	161
186	37	161
187	37	160
188	37	160
189	37	160
190	37	160
191	37	159
192	38	159
193	38	159
194	38	159
195	38	159
196	39	159
197	39	158
198	39	158
199	39	158
200	39	158
201	39	157
202	40	157
203	40	157
204	40	157
205	40	156
206	40	156
207	41	156
208	41	156
209	41	155
210	41	155
211	41	155
212	42	155
213	42	155
214	42	154
215	42	154
216	42	154
217	42	154
218	43	153
219	43	153
220	43	153
221	43	153
222	43	152
223	44	152
224	44	152
225	44	152
226	44	151
227	44	151
228	44	151
229	45	151
230	45	150
231	45	150
232	45	150
233	45	150
234	46	150
235	46	149
236	46	149
237	46	149
238	46	149
239	47	148
240	47	148
241	47	148
242	47	148
243	47	147
244	47	147
245	48	147
246	48	147
247	48	147
248	48	146
249	48	146
250	49	146
251	49	146
252	49	145
253	49	145
254	49	145
255	49	145
256	50	145
257	50	144
258	50	144
259	50	144
260	50	144
261	51	143
262	51	143
263	51	143
264	51	143
265	51	143
266	52	142
267	52	142
268	52	142
269	52	142
270	52	141
271	52	141
272	53	141
273	53	141
274	53	141
275	53	140
276	53	140
277	54	140
278	54	140
279	54	139
280	54	139
281	54	139
282	54	139
283	55	139
284	55	138
285	55	138
286	55	138
287	55	138
288	56	138
289	56	137
290	56	137
291	56	137
292	56	137
293	57	137
294	57	137
295	57	137
296	57	136
297	58	137
298	58	137
299	58	136
300	58	136
301	58	136
302	59	136
303	59	135
304	59	135
305	59	135
306	59	135
307	60	134
308	60	134
309	60	134
310	60	134
311	60	134
312	60	133
313	61	133
314	61	133
315	61	133
316	61	132
317	61	132
318	62	132
319	62	132
320	62	132
321	62	131
322	62	131
323	62	131
324	63	131
325	63	130
326	63	130
327	63	130
328	64	131
329	64	131
330	64	130
331	65	130
332	65	130
333	65	130
334	65	130
335	66	130
336	66	130
337	66	130
338	66	129
339	66	129
340	66	129
341	67	129
342	67	129
343	67	128
344	67	128
345	67	128
346	68	128
347	68	127
348	68	127
349	68	127
350	68	127
351	68	126
352	69	126
353	69	126
354	69	126
355	69	126
356	69	125
357	70	125
358	70	125
359	70	125
360	70	125
361	70	124
362	71	124
363	71	124
364	71	124
365	71	124
366	71	123
367	71	123
368	72	123
369	72	123
370	72	123
371	72	122
372	72	122
373	73	122
374	73	122
375	73	121
376	73	121
377	73	121
378	74	121
379	74	121
380	74	121
381	74	120
382	74	120
383	75	120
384	75	120
385	75	120
386	75	119
387	75	119
388	76	119
389	76	119
390	76	118
391	76	118
392	76	118
393	76	118
394	77	118
395	77	117
396	77	117
397	77	117
398	77	117
399	77	116
400	78	116
401	78	116
402	78	116
403	78	116
404	78	115
405	79	115
406	79	115
407	79	115
